county_id,ideb_score,ideb_publication_year,ideb_score_status
1100122,5.2,2015,Projetado
1100122,5.5,2017,Projetado
1100122,5.8,2019,Projetado
1100122,6,2021,Projetado
1100122,3.8,2005,Observado
1100122,4,2007,Observado
1100122,4.5,2009,Observado
1100122,4.9,2011,Observado
1100122,5.7,2013,Observado
1100122,6,2015,Observado
1100122,6.2,2017,Observado
1100122,5.8,2019,Observado
1100130,3,2007,Projetado
1100130,3.3,2009,Projetado
1100130,3.7,2011,Projetado
1100130,4,2013,Projetado
1100130,4.3,2015,Projetado
1100130,4.6,2017,Projetado
1100130,4.9,2019,Projetado
1100130,5.2,2021,Projetado
1100130,2.9,2005,Observado
1100130,3.7,2007,Observado
1100130,4.3,2009,Observado
1100130,4.5,2011,Observado
1100130,5,2013,Observado
1100130,5.2,2015,Observado
1100130,5.2,2017,Observado
1100130,5,2019,Observado
1100148,3.7,2007,Projetado
1100148,4,2009,Projetado
1100148,4.5,2011,Projetado
1100148,4.7,2013,Projetado
1100148,5,2015,Projetado
1100148,5.3,2017,Projetado
1100148,5.6,2019,Projetado
1100148,5.9,2021,Projetado
1100148,3.6,2005,Observado
1100148,4,2007,Observado
1100148,4.6,2009,Observado
1100148,5.5,2011,Observado
1100148,6.6,2013,Observado
1100148,6.6,2015,Observado
1100148,7.2,2017,Observado
1100148,6.9,2019,Observado
1100155,3.5,2007,Projetado
1100155,3.9,2009,Projetado
1100155,4.3,2011,Projetado
1100155,4.6,2013,Projetado
1100155,4.9,2015,Projetado
1100155,5.1,2017,Projetado
1100155,5.4,2019,Projetado
1100155,5.7,2021,Projetado
1100155,3.5,2005,Observado
1100155,3.9,2007,Observado
1100155,4.2,2009,Observado
1100155,4.6,2011,Observado
1100155,5.5,2013,Observado
1100155,5.7,2015,Observado
1100155,5.8,2017,Observado
1100155,5.5,2019,Observado
1100189,4,2007,Projetado
1100189,4.4,2009,Projetado
1100189,4.8,2011,Projetado
1100189,5,2013,Projetado
1100189,5.3,2015,Projetado
1100189,5.6,2017,Projetado
1100189,5.9,2019,Projetado
1100189,6.1,2021,Projetado
1100189,4,2005,Observado
1100189,4.2,2007,Observado
1100189,4.9,2009,Observado
1100189,5.6,2011,Observado
1100189,5.9,2013,Observado
1100189,5.9,2015,Observado
1100189,6.2,2017,Observado
1100189,5.8,2019,Observado
1100205,3.7,2007,Projetado
1100205,4,2009,Projetado
1100205,4.4,2011,Projetado
1100205,4.7,2013,Projetado
1100205,5,2015,Projetado
1100205,5.3,2017,Projetado
1100205,5.6,2019,Projetado
1100205,5.8,2021,Projetado
1100205,3.6,2005,Observado
1100205,3.9,2007,Observado
1100205,4.2,2009,Observado
1100205,4.3,2011,Observado
1100205,4.6,2013,Observado
1100205,4.9,2015,Observado
1100205,5.3,2017,Observado
1100205,5.4,2019,Observado
1100254,3.8,2007,Projetado
1100254,4.1,2009,Projetado
1100254,4.5,2011,Projetado
1100254,4.8,2013,Projetado
1100254,5.1,2015,Projetado
1100254,5.4,2017,Projetado
1100254,5.7,2019,Projetado
1100254,5.9,2021,Projetado
1100254,3.7,2005,Observado
1100254,4.3,2007,Observado
1100254,4.6,2009,Observado
1100254,5.1,2011,Observado
1100254,5.9,2013,Observado
1100254,6,2015,Observado
1100254,6.3,2017,Observado
1100254,5.8,2019,Observado
1100262,3.3,2007,Projetado
1100262,3.6,2009,Projetado
1100262,4,2011,Projetado
1100262,4.3,2013,Projetado
1100262,4.6,2015,Projetado
1100262,4.9,2017,Projetado
1100262,5.2,2019,Projetado
1100262,5.5,2021,Projetado
1100262,3.2,2005,Observado
1100262,3,2007,Observado
1100262,3.9,2009,Observado
1100262,3.4,2011,Observado
1100262,4.7,2013,Observado
1100262,4.9,2015,Observado
1100262,5.1,2017,Observado
1100262,4,2019,Observado
1100288,4,2007,Projetado
1100288,4.4,2009,Projetado
1100288,4.8,2011,Projetado
1100288,5.1,2013,Projetado
1100288,5.3,2015,Projetado
1100288,5.6,2017,Projetado
1100288,5.9,2019,Projetado
1100288,6.2,2021,Projetado
1100288,4,2005,Observado
1100288,4,2007,Observado
1100288,4.5,2009,Observado
1100288,4.8,2011,Observado
1100288,5.5,2013,Observado
1100288,5.6,2015,Observado
1100288,6.4,2017,Observado
1100288,5.9,2019,Observado
1100296,3.8,2007,Projetado
1100296,4.1,2009,Projetado
1100296,4.5,2011,Projetado
1100296,4.8,2013,Projetado
1100296,5.1,2015,Projetado
1100296,5.4,2017,Projetado
1100296,5.6,2019,Projetado
1100296,5.9,2021,Projetado
1100296,3.7,2005,Observado
1100296,4.1,2007,Observado
1100296,4.4,2009,Observado
1100296,4.8,2011,Observado
1100296,5.7,2013,Observado
1100296,6.1,2015,Observado
1100296,6.8,2017,Observado
1100296,6.3,2019,Observado
1100304,4,2007,Projetado
1100304,4.4,2009,Projetado
1100304,4.8,2011,Projetado
1100304,5.1,2013,Projetado
1100304,5.3,2015,Projetado
1100304,5.6,2017,Projetado
1100304,5.9,2019,Projetado
1100304,6.1,2021,Projetado
1100304,4,2005,Observado
1100304,4.2,2007,Observado
1100304,4.6,2009,Observado
1100304,5.1,2011,Observado
1100304,5.7,2013,Observado
1100304,5.6,2015,Observado
1100304,5.9,2017,Observado
1100304,5.6,2019,Observado
1100320,3.8,2007,Projetado
1100320,4.1,2009,Projetado
1100320,4.5,2011,Projetado
1100320,4.8,2013,Projetado
1100320,5.1,2015,Projetado
1100320,5.4,2017,Projetado
1100320,5.7,2019,Projetado
1100320,5.9,2021,Projetado
1100320,3.7,2005,Observado
1100320,4,2007,Observado
1100320,4.3,2009,Observado
1100320,4.6,2011,Observado
1100320,5.3,2013,Observado
1100320,5,2015,Observado
1100320,5.7,2017,Observado
1100320,5.1,2019,Observado
1100338,3.3,2007,Projetado
1100338,3.6,2009,Projetado
1100338,4,2011,Projetado
1100338,4.3,2013,Projetado
1100338,4.6,2015,Projetado
1100338,4.9,2017,Projetado
1100338,5.2,2019,Projetado
1100338,5.5,2021,Projetado
1100338,3.2,2005,Observado
1100338,3.4,2007,Observado
1100338,4,2009,Observado
1100338,3.9,2011,Observado
1100338,5,2013,Observado
1100338,4.8,2015,Observado
1100338,5.2,2017,Observado
1100338,4.9,2019,Observado
1100346,4,2007,Projetado
1100346,4.3,2009,Projetado
1100346,4.7,2011,Projetado
1100346,5,2013,Projetado
1100346,5.3,2015,Projetado
1100346,5.6,2017,Projetado
1100346,5.8,2019,Projetado
1100346,6.1,2021,Projetado
1100346,3.9,2005,Observado
1100346,3.9,2007,Observado
1100346,4.1,2009,Observado
1100346,4.9,2011,Observado
1100346,5.2,2013,Observado
1100346,5.6,2015,Observado
1100346,5.8,2017,Observado
1100346,5.3,2019,Observado
1100379,3.6,2007,Projetado
1100379,4,2009,Projetado
1100379,4.4,2011,Projetado
1100379,4.7,2013,Projetado
1100379,4.9,2015,Projetado
1100379,5.2,2017,Projetado
1100379,5.5,2019,Projetado
1100379,5.8,2021,Projetado
1100379,3.6,2005,Observado
1100379,3.7,2007,Observado
1100379,4.1,2009,Observado
1100379,4.3,2011,Observado
1100379,5.1,2013,Observado
1100379,5.8,2015,Observado
1100379,5.8,2017,Observado
1100379,5.4,2019,Observado
1100403,3.3,2007,Projetado
1100403,3.6,2009,Projetado
1100403,4,2011,Projetado
1100403,4.3,2013,Projetado
1100403,4.6,2015,Projetado
1100403,4.9,2017,Projetado
1100403,5.2,2019,Projetado
1100403,5.5,2021,Projetado
1100403,3.2,2005,Observado
1100403,3.6,2007,Observado
1100403,4.3,2009,Observado
1100403,4.6,2011,Observado
1100403,4.9,2013,Observado
1100403,4.9,2015,Observado
1100403,5.7,2017,Observado
1100403,4.9,2019,Observado
1100452,3.4,2007,Projetado
1100452,3.7,2009,Projetado
1100452,4.1,2011,Projetado
1100452,4.4,2013,Projetado
1100452,4.7,2015,Projetado
1100452,5,2017,Projetado
1100452,5.3,2019,Projetado
1100452,5.6,2021,Projetado
1100452,3.3,2005,Observado
1100452,3.8,2007,Observado
1100452,4.3,2009,Observado
1100452,4.8,2011,Observado
1100452,5.6,2013,Observado
1100452,5.5,2015,Observado
1100452,5.6,2017,Observado
1100452,5.5,2019,Observado
1100502,3.4,2007,Projetado
1100502,3.8,2009,Projetado
1100502,4.2,2011,Projetado
1100502,4.5,2013,Projetado
1100502,4.7,2015,Projetado
1100502,5,2017,Projetado
1100502,5.3,2019,Projetado
1100502,5.6,2021,Projetado
1100502,3.4,2005,Observado
1100502,4,2007,Observado
1100502,4.2,2009,Observado
1100502,4.3,2011,Observado
1100502,5,2013,Observado
1100502,5.8,2015,Observado
1100502,5.8,2017,Observado
1100502,6.6,2019,Observado
1100601,NA,2007,Projetado
1100601,3.7,2009,Projetado
1100601,4.1,2011,Projetado
1100601,4.4,2013,Projetado
1100601,4.6,2015,Projetado
1100601,4.9,2017,Projetado
1100601,5.2,2019,Projetado
1100601,5.5,2021,Projetado
1100601,NA,2005,Observado
1100601,3.5,2007,Observado
1100601,4.2,2009,Observado
1100601,4.8,2011,Observado
1100601,5.1,2013,Observado
1100601,5.7,2015,Observado
1100601,5.8,2017,Observado
1100601,5.1,2019,Observado
1100700,3.1,2007,Projetado
1100700,3.5,2009,Projetado
1100700,3.9,2011,Projetado
1100700,4.2,2013,Projetado
1100700,4.5,2015,Projetado
1100700,4.8,2017,Projetado
1100700,5.1,2019,Projetado
1100700,5.4,2021,Projetado
1100700,3.1,2005,Observado
1100700,3.3,2007,Observado
1100700,3.9,2009,Observado
1100700,4.2,2011,Observado
1100700,4.6,2013,Observado
1100700,4.6,2015,Observado
1100700,5.3,2017,Observado
1100700,5.3,2019,Observado
1100809,3.2,2007,Projetado
1100809,3.5,2009,Projetado
1100809,3.9,2011,Projetado
1100809,4.2,2013,Projetado
1100809,4.5,2015,Projetado
1100809,4.8,2017,Projetado
1100809,5.1,2019,Projetado
1100809,5.4,2021,Projetado
1100809,3.1,2005,Observado
1100809,3.4,2007,Observado
1100809,3.3,2009,Observado
1100809,3.5,2011,Observado
1100809,3.9,2013,Observado
1100809,4.2,2015,Observado
1100809,4.4,2017,Observado
1100809,5,2019,Observado
1100908,NA,2007,Projetado
1100908,4.1,2009,Projetado
1100908,4.4,2011,Projetado
1100908,4.7,2013,Projetado
1100908,5,2015,Projetado
1100908,5.3,2017,Projetado
1100908,5.5,2019,Projetado
1100908,5.8,2021,Projetado
1100908,NA,2005,Observado
1100908,3.9,2007,Observado
1100908,NA,2009,Observado
1100908,NA,2011,Observado
1100908,NA,2013,Observado
1100908,NA,2015,Observado
1100908,NA,2017,Observado
1100908,NA,2019,Observado
1100924,3.8,2007,Projetado
1100924,4.1,2009,Projetado
1100924,4.5,2011,Projetado
1100924,4.8,2013,Projetado
1100924,5.1,2015,Projetado
1100924,5.4,2017,Projetado
1100924,5.7,2019,Projetado
1100924,5.9,2021,Projetado
1100924,3.7,2005,Observado
1100924,3.5,2007,Observado
1100924,4.7,2009,Observado
1100924,5.1,2011,Observado
1100924,5.5,2013,Observado
1100924,5.1,2015,Observado
1100924,5.2,2017,Observado
1100924,4.6,2019,Observado
1100940,3,2007,Projetado
1100940,3.3,2009,Projetado
1100940,3.8,2011,Projetado
1100940,4,2013,Projetado
1100940,4.3,2015,Projetado
1100940,4.6,2017,Projetado
1100940,4.9,2019,Projetado
1100940,5.2,2021,Projetado
1100940,3,2005,Observado
1100940,3,2007,Observado
1100940,3.6,2009,Observado
1100940,3.9,2011,Observado
1100940,4.3,2013,Observado
1100940,4.5,2015,Observado
1100940,4.5,2017,Observado
1100940,4.2,2019,Observado
1101005,3,2007,Projetado
1101005,3.3,2009,Projetado
1101005,3.7,2011,Projetado
1101005,4,2013,Projetado
1101005,4.3,2015,Projetado
1101005,4.6,2017,Projetado
1101005,4.9,2019,Projetado
1101005,5.2,2021,Projetado
1101005,2.9,2005,Observado
1101005,3.5,2007,Observado
1101005,3.9,2009,Observado
1101005,3.9,2011,Observado
1101005,4.6,2013,Observado
1101005,5.6,2015,Observado
1101005,5.5,2017,Observado
1101005,5.2,2019,Observado
1101104,3.2,2007,Projetado
1101104,3.5,2009,Projetado
1101104,3.9,2011,Projetado
1101104,4.2,2013,Projetado
1101104,4.5,2015,Projetado
1101104,4.8,2017,Projetado
1101104,5.1,2019,Projetado
1101104,5.4,2021,Projetado
1101104,3.1,2005,Observado
1101104,3.1,2007,Observado
1101104,3.5,2009,Observado
1101104,4,2011,Observado
1101104,3.7,2013,Observado
1101104,4.2,2015,Observado
1101104,4.8,2017,Observado
1101104,5,2019,Observado
1101203,3.4,2007,Projetado
1101203,3.8,2009,Projetado
1101203,4.2,2011,Projetado
1101203,4.5,2013,Projetado
1101203,4.8,2015,Projetado
1101203,5.1,2017,Projetado
1101203,5.3,2019,Projetado
1101203,5.6,2021,Projetado
1101203,3.4,2005,Observado
1101203,3.6,2007,Observado
1101203,4.7,2009,Observado
1101203,4.7,2011,Observado
1101203,5.8,2013,Observado
1101203,6.3,2015,Observado
1101203,6.9,2017,Observado
1101203,5.9,2019,Observado
1101302,3.4,2007,Projetado
1101302,3.7,2009,Projetado
1101302,4.1,2011,Projetado
1101302,4.4,2013,Projetado
1101302,4.7,2015,Projetado
1101302,5,2017,Projetado
1101302,5.3,2019,Projetado
1101302,5.6,2021,Projetado
1101302,3.3,2005,Observado
1101302,3.6,2007,Observado
1101302,3.9,2009,Observado
